weekday;date;nr1asc;nr2asc;nr3asc;nr4asc;nr5asc;nr6asc;additionalNr;six;currency1;rateSix;fiveAddNr;currency2;rateFiveAddNr;five;currency3;rateFive;fourAddNr;currency4;rateFourAddNr;nr1;nr2;nr3;nr4;nr5;nr6;four;currency5;rateFour;threeAddNr;currency6;rateThreeAddNr;three;currency7;rateThree;nrOfAddNr;currency8;rateAddNr;
Sunday;23.1.2011;2;13;33;37;41;45;12;3;EUR;736185,10;4;EUR;46019,50;167;EUR;1202,40;392;EUR;179,20;2;41;13;45;37;33;7790;EUR;42,50;9958;EUR;16,10;121932;EUR;4,80;420988;EUR;1,10;
Wednesday;26.1.2011;8;10;19;22;34;44;21;JP;;829704,00;5;EUR;22816,80;114;EUR;1091,70;308;EUR;141,40;22;19;44;8;10;34;5395;EUR;38,00;7066;EUR;14,00;82948;EUR;4,40;247235;EUR;1,10;
Sunday;30.1.2011;2;10;15;19;37;41;13;2JP;;2143242,70;3;EUR;60203,80;130;EUR;1515,60;349;EUR;197,50;19;41;37;2;15;10;7268;EUR;44,70;10073;EUR;15,60;120752;EUR;4,70;381716;EUR;1,10;
Wednesday;2.2.2011;3;16;19;22;23;28;24;1;EUR;3740344,60;5;EUR;43920,30;183;EUR;1309,00;455;EUR;184,20;28;16;22;3;23;19;9654;EUR;40,90;12554;EUR;15,20;161547;EUR;4,30;439316;EUR;1,10;
Sunday;6.2.2011;1;2;10;26;27;34;16;JP;;977020,80;2;EUR;67170,10;139;EUR;1054,30;335;EUR;153,10;10;34;1;26;27;2;6116;EUR;39,50;9117;EUR;12,80;100361;EUR;4,20;260675;EUR;1,10;
Wednesday;9.2.2011;2;4;9;11;17;24;16;1;EUR;2279514,70;7;EUR;25584,70;278;EUR;702,70;538;EUR;127,10;17;11;4;2;24;9;10736;EUR;30,00;11813;EUR;13,20;150030;EUR;3,80;362502;EUR;1,10;
Sunday;13.2.2011;6;17;34;39;40;43;29;JP;;960585,90;1;EUR;132080,50;123;EUR;1171,40;313;EUR;161,10;17;43;39;40;6;34;5066;EUR;46,90;8025;EUR;14,30;88981;EUR;4,70;277324;EUR;1,10;
Wednesday;16.2.2011;1;18;21;24;27;45;10;2JP;;2221676,20;4;EUR;43349,90;142;EUR;1332,10;465;EUR;142,30;18;24;27;21;1;45;7255;EUR;43,00;11121;EUR;13,60;115725;EUR;4,70;382983;EUR;1,10;
Sunday;20.2.2011;3;8;20;37;38;44;45;3JP;;3840698,10;2;EUR;111307,70;167;EUR;1454,20;453;EUR;187,60;37;20;8;44;38;3;8753;EUR;45,70;11555;EUR;16,80;147505;EUR;4,80;445843;EUR;1,10;
Wednesday;23.2.2011;3;13;17;20;28;29;15;4JP;;5820590,20;9;EUR;30248,30;297;EUR;999,90;668;EUR;155,60;3;28;20;29;13;17;13324;EUR;36,70;16797;EUR;14,10;208101;EUR;4,10;552982;EUR;1,10;
