weekday;date;nr1asc;nr2asc;nr3asc;nr4asc;nr5asc;nr6asc;additionalNr;six;currency1;rateSix;fiveAddNr;currency2;rateFiveAddNr;five;currency3;rateFive;four;currency4;rateFour;three;currency5;rateThree;nr1;nr2;nr3;nr4;nr5;nr6;additionalNr;
Sunday;03.04.1988;3;4;12;14;31;44;9;JP;;12025061,00;6;ATS;668058,00;263;ATS;22861,00;15742;ATS;509,00;292151;ATS;34,00;12;3;31;14;4;44;9;
Sunday;10.04.1988;2;8;13;15;21;23;1;3;ATS;9215334,00;14;ATS;371927,00;588;ATS;13283,00;29665;ATS;351,00;483625;ATS;26,00;15;23;2;8;21;13;1;
Sunday;17.04.1988;3;20;26;27;41;42;28;3;ATS;4136201,00;9;ATS;459577,00;304;ATS;20408,00;17107;ATS;483,00;297383;ATS;34,00;20;26;3;41;27;42;28;
Sunday;24.04.1988;4;15;22;26;28;30;35;1;ATS;11800832,00;15;ATS;262240,00;726;ATS;8127,00;31055;ATS;253,00;429617;ATS;22,00;26;15;22;30;4;28;35;
Sunday;01.05.1988;12;22;26;35;37;45;30;JP;;11739171,00;8;ATS;489132,00;350;ATS;16770,00;15787;ATS;495,00;283672;ATS;34,00;12;37;35;22;45;26;30;
Sunday;08.05.1988;13;16;20;31;32;40;42;2;ATS;22655114,00;8;ATS;909661,00;479;ATS;22789,00;33759;ATS;431,00;584875;ATS;31,00;20;13;32;31;16;40;42;
Sunday;15.05.1988;4;24;27;32;33;35;41;JP;;11421039,00;3;ATS;1269004,00;289;ATS;19759,00;20480;ATS;371,00;382466;ATS;24,00;32;35;27;4;33;24;41;
Sunday;22.05.1988;7;16;17;26;29;36;41;4;ATS;6886056,00;23;ATS;233669,00;847;ATS;9517,00;37809;ATS;284,00;592032;ATS;22,00;17;29;26;36;7;16;41;
Sunday;29.05.1988;8;12;20;30;33;38;15;5;ATS;2302250,00;24;ATS;159878,00;610;ATS;9435,00;26674;ATS;287,00;398896;ATS;24,00;20;33;38;30;12;8;15;
Sunday;05.06.1988;4;7;10;20;31;43;19;JP;;11543835,00;13;ATS;295995,00;279;ATS;20687,00;15342;ATS;501,00;278674;ATS;34,00;20;43;7;10;31;4;19;
Sunday;12.06.1988;2;14;15;25;26;39;32;5;ATS;5318158,00;22;ATS;227984,00;640;ATS;11755,00;31055;ATS;323,00;454961;ATS;27,00;39;2;26;14;15;25;32;
Sunday;19.06.1988;2;4;7;10;27;28;21;3;ATS;3871675,00;23;ATS;168333,00;590;ATS;9843,00;25884;ATS;299,00;394288;ATS;24,00;10;7;27;4;2;28;21;
Sunday;26.06.1988;15;25;34;41;44;45;9;1;ATS;11286404,00;4;ATS;940533,00;178;ATS;31703,00;10574;ATS;711,00;213084;ATS;44,00;41;34;45;25;15;44;9;
Sunday;03.07.1988;10;16;18;28;37;40;15;1;ATS;11081620,00;5;ATS;738774,00;421;ATS;13161,00;22431;ATS;329,00;333757;ATS;27,00;40;28;16;18;10;37;15;
Sunday;10.07.1988;2;7;11;27;32;43;10;1;ATS;10885957,00;4;ATS;907163,00;295;ATS;18450,00;16544;ATS;438,00;296458;ATS;30,00;27;11;43;2;7;32;10;
Sunday;17.07.1988;5;10;14;20;29;34;37;6;ATS;1788118,00;24;ATS;149009,00;679;ATS;7900,00;28190;ATS;253,00;413951;ATS;21,00;34;10;14;29;5;20;37;
Sunday;24.07.1988;2;12;14;27;35;41;43;2;ATS;5078609,00;8;ATS;423217,00;414;ATS;12267,00;17319;ATS;390,00;283318;ATS;29,00;41;27;35;2;14;12;43;
Sunday;31.07.1988;9;11;23;34;42;43;21;3;ATS;3373916,00;30;ATS;112463,00;595;ATS;8505,00;23165;ATS;291,00;266471;ATS;31,00;23;11;43;42;9;34;21;
Sunday;07.08.1988;1;4;11;33;34;42;32;2;ATS;5193240,00;2;ATS;1731080,00;157;ATS;33077,00;15833;ATS;437,00;244278;ATS;35,00;11;33;1;34;4;42;32;
Sunday;14.08.1988;4;9;10;16;18;32;39;JP;;10078870,00;5;ATS;671924,00;288;ATS;17498,00;17500;ATS;383,00;324150;ATS;25,00;16;9;18;4;32;10;39;
Sunday;21.08.1988;12;24;26;37;42;43;17;DJP;;23484411,00;6;ATS;744752,00;223;ATS;30057,00;13390;ATS;667,00;260226;ATS;42,00;37;43;24;26;12;42;17;
Sunday;28.08.1988;3;22;23;28;35;45;34;1;ATS;47714491,00;11;ATS;734244,00;567;ATS;21366,00;36360;ATS;444,00;699468;ATS;28,00;22;45;23;28;3;35;34;
Sunday;04.09.1988;3;22;38;39;42;43;6;JP;;11351878,00;2;ATS;1891979,00;149;ATS;38093,00;12523;ATS;604,00;227228;ATS;41,00;39;43;42;38;22;3;6;
Sunday;11.09.1988;3;9;12;16;22;41;2;3;ATS;9759498,00;4;ATS;1493884,00;644;ATS;13918,00;34662;ATS;344,00;561524;ATS;26,00;16;12;9;22;3;41;2;
Sunday;18.09.1988;1;25;27;36;39;43;9;1;ATS;12014065,00;10;ATS;400468,00;683;ATS;8795,00;13117;ATS;610,00;250778;ATS;39,00;39;25;27;1;43;36;9;
Sunday;25.09.1988;4;9;15;23;26;32;35;4;ATS;2830564,00;41;ATS;92050,00;705;ATS;8029,00;30063;ATS;251,00;417256;ATS;22,00;26;4;23;32;15;9;35;
Sunday;02.10.1988;2;6;8;12;24;30;25;2;ATS;5702667,00;20;ATS;190088,00;772;ATS;7386,00;34470;ATS;220,00;381541;ATS;24,00;6;30;8;24;12;2;25;
Sunday;09.10.1988;2;3;12;25;26;36;32;3;ATS;3722589,00;6;ATS;620431,00;309;ATS;18070,00;17094;ATS;435,00;297122;ATS;31,00;2;26;36;25;12;3;32;
Sunday;16.10.1988;7;9;11;19;21;22;30;3;ATS;3597447,00;17;ATS;211614,00;857;ATS;6296,00;33300;ATS;216,00;444634;ATS;20,00;11;9;22;19;7;21;30;
Sunday;23.10.1988;15;19;26;43;44;45;39;JP;;10619551,00;2;ATS;1769925,00;149;ATS;35636,00;8960;ATS;790,00;190536;ATS;46,00;15;43;45;44;19;26;39;
Sunday;30.10.1988;8;16;31;32;34;43;37;DJP;;24072698,00;5;ATS;896876,00;392;ATS;17159,00;19564;ATS;458,00;352582;ATS;31,00;34;16;43;31;8;32;37;
Sunday;06.11.1988;8;16;22;37;38;42;32;6;ATS;7203654,00;15;ATS;425538,00;455;ATS;21043,00;26583;ATS;480,00;477952;ATS;33,00;42;22;38;8;37;16;32;
Sunday;13.11.1988;2;3;23;32;34;35;9;JP;;11553372,00;15;ATS;256741,00;305;ATS;18939,00;18613;ATS;413,00;335436;ATS;28,00;2;35;3;32;34;23;9;
Sunday;20.11.1988;2;18;24;26;31;42;32;2;ATS;13234221,00;4;ATS;1242922,00;332;ATS;22462,00;17893;ATS;555,00;324592;ATS;38,00;31;42;24;26;2;18;32;
Sunday;27.11.1988;1;2;5;21;37;39;6;JP;;11289596,00;5;ATS;752639,00;198;ATS;28509,00;12041;ATS;625,00;259982;ATS;36,00;21;37;1;5;2;39;6;
Sunday;04.12.1988;7;15;24;26;32;40;37;2;ATS;13448715,00;6;ATS;867101,00;693;ATS;11261,00;28886;ATS;360,00;470136;ATS;27,00;24;32;40;15;7;26;37;
Sunday;11.12.1988;21;24;35;41;43;44;2;1;ATS;11230325,00;1;ATS;3743441,00;141;ATS;39823,00;10430;ATS;711,00;227748;ATS;41,00;35;41;44;24;43;21;2;
Sunday;18.12.1988;5;27;31;36;38;41;2;1;ATS;11354420,00;3;ATS;1261602,00;251;ATS;22618,00;15161;ATS;499,00;274278;ATS;34,00;27;31;5;38;36;41;2;
Sunday;25.12.1988;10;25;33;36;39;42;35;JP;;10258739,00;4;ATS;854894,00;302;ATS;16984,00;17910;ATS;381,00;297075;ATS;28,00;10;25;33;42;39;36;35;
Sunday;01.01.1988;7;11;18;22;23;24;40;1;ATS;24970025,00;6;ATS;817293,00;485;ATS;15166,00;24257;ATS;404,00;419376;ATS;29,00;23;7;24;11;18;22;40;
Sunday;08.01.1989;10;16;17;27;30;36;39;1;ATS;11316182,00;6;ATS;628676,00;495;ATS;11430,00;25048;ATS;301,00;400582;ATS;23,00;16;30;10;36;17;27;39;
Sunday;15.01.1989;9;10;19;23;27;43;30;3;ATS;4096762,00;14;ATS;292625,00;424;ATS;14493,00;22558;ATS;363,00;379307;ATS;27,00;27;9;19;43;10;23;30;
Sunday;22.01.1989;6;14;18;21;38;43;45;1;ATS;11401794,00;5;ATS;760119,00;235;ATS;24259,00;13403;ATS;567,00;262817;ATS;36,00;21;6;38;43;18;14;45;
Sunday;29.01.1989;1;6;16;20;37;38;28;1;ATS;12001569,00;7;ATS;571503,00;189;ATS;31750,00;13415;ATS;596,00;251930;ATS;39,00;20;38;37;1;6;16;28;
Sunday;05.02.1989;13;15;16;19;30;44;26;JP;;11586862,00;6;ATS;643714,00;161;ATS;35984,00;12245;ATS;630,00;269007;ATS;35,00;16;44;30;13;19;15;26;
Sunday;12.02.1989;16;20;27;32;36;37;4;3;ATS;8913746,00;12;ATS;420954,00;555;ATS;13652,00;27993;ATS;360,00;462456;ATS;27,00;36;32;37;20;16;27;4;
Sunday;19.02.1989;1;3;5;12;23;40;27;JP;;11633323,00;12;ATS;323147,00;347;ATS;16762,00;21574;ATS;359,00;329624;ATS;29,00;3;5;1;12;40;23;27;
Sunday;26.02.1989;2;5;8;11;28;44;40;3;ATS;9025380,00;8;ATS;643450,00;483;ATS;15986,00;28406;ATS;362,00;469518;ATS;27,00;8;2;44;5;11;28;40;
Sunday;05.03.1989;3;17;18;34;37;39;20;3;ATS;3988343,00;7;ATS;569763,00;339;ATS;17647,00;18803;ATS;424,00;339909;ATS;29,00;17;34;3;39;18;37;20;
Sunday;12.03.1989;4;13;26;33;35;41;8;14;ATS;845207,00;22;ATS;179286,00;1147;ATS;5158,00;33995;ATS;232,00;433373;ATS;22,00;13;35;4;41;33;26;8;
Sunday;19.03.1989;18;26;28;36;38;42;13;JP;;11404806,00;10;ATS;380160,00;522;ATS;10924,00;21036;ATS;361,00;308610;ATS;30,00;26;36;28;18;38;42;13;
Sunday;26.03.1989;7;13;17;23;28;43;36;5;ATS;5283559,00;14;ATS;357452,00;636;ATS;11802,00;27418;ATS;365,00;434327;ATS;28,00;28;13;23;7;17;43;36;
Sunday;02.04.1989;4;8;9;29;30;34;3;3;ATS;3631882,00;9;ATS;403542,00;364;ATS;14966,00;20021;ATS;362,00;352708;ATS;25,00;9;34;4;29;30;8;3;
Sunday;09.04.1989;6;9;22;23;38;43;8;2;ATS;5572135,00;9;ATS;412750,00;327;ATS;17040,00;16968;ATS;437,00;299089;ATS;31,00;9;38;23;6;43;22;8;
Sunday;16.04.1989;6;12;14;15;16;27;43;2;ATS;5653980,00;9;ATS;418813,00;501;ATS;11285,00;24493;ATS;307,00;382710;ATS;24,00;27;15;16;14;6;12;43;
Sunday;23.04.1989;10;20;24;33;44;45;15;3;ATS;3678374,00;9;ATS;408708,00;700;ATS;7882,00;26494;ATS;277,00;361922;ATS;25,00;24;33;45;10;44;20;15;
Sunday;30.04.1989;13;28;35;36;38;45;33;JP;;11096052,00;4;ATS;924671,00;213;ATS;26047,00;14352;ATS;515,00;266808;ATS;34,00;36;38;45;35;13;28;33;
Sunday;07.05.1989;9;13;17;20;22;44;6;DJP;;38837613,00;12;ATS;462375,00;527;ATS;15792,00;27586;ATS;402,00;477104;ATS;29,00;13;22;20;9;17;44;6;
Sunday;14.05.1989;2;5;9;12;16;31;4;6;ATS;11753487,00;29;ATS;364175,00;1702;ATS;9307,00;65809;ATS;320,00;983644;ATS;26,00;16;5;31;2;9;12;4;
